id,type,isObscene,isAbstract,text
154,prefix,FALSE,FALSE,Страхо
155,prefix,TRUE,FALSE,Сыко
156,prefix,FALSE,FALSE,Буйно
157,prefix,FALSE,FALSE,Быстро
158,prefix,FALSE,FALSE,Яйце
159,prefix,FALSE,FALSE,Громо
160,prefix,FALSE,FALSE,Корне
161,prefix,FALSE,FALSE,Техно
162,prefix,FALSE,FALSE,Вихре
163,prefix,FALSE,FALSE,Сабле
164,prefix,FALSE,FALSE,Зверо
165,prefix,FALSE,FALSE,Садо
166,prefix,FALSE,FALSE,Горно
167,prefix,FALSE,FALSE,Булко
168,prefix,FALSE,FALSE,Камне
169,prefix,FALSE,FALSE,Песне
170,prefix,FALSE,FALSE,Шубо
171,prefix,FALSE,FALSE,Небо
172,prefix,FALSE,FALSE,Дивно
173,prefix,FALSE,FALSE,Жаро
174,prefix,FALSE,FALSE,Пчело
175,prefix,FALSE,FALSE,Кусто
176,prefix,FALSE,FALSE,Шерсто
177,prefix,FALSE,FALSE,Праздно
178,prefix,FALSE,FALSE,Чесо
179,prefix,FALSE,FALSE,Душе
180,prefix,FALSE,FALSE,Тене
181,prefix,FALSE,FALSE,Пьяно
182,prefix,FALSE,FALSE,Косте
183,prefix,FALSE,FALSE,Пламе
184,prefix,FALSE,FALSE,Гребне
185,prefix,FALSE,FALSE,Космо
186,prefix,FALSE,FALSE,Трубо
187,prefix,FALSE,FALSE,Турбо
188,prefix,FALSE,FALSE,Тлено
189,prefix,FALSE,FALSE,Слюно
190,prefix,FALSE,FALSE,Скало
191,prefix,FALSE,FALSE,Смерто
192,prefix,FALSE,FALSE,Комбо
193,prefix,FALSE,FALSE,Магмо
194,prefix,FALSE,FALSE,Брыко
195,prefix,FALSE,FALSE,Снего
196,prefix,FALSE,FALSE,Буро
197,prefix,FALSE,FALSE,Яро
198,prefix,FALSE,FALSE,Земле
199,prefix,FALSE,FALSE,Плавно
200,prefix,FALSE,FALSE,Куро
201,prefix,FALSE,FALSE,Нище
202,prefix,FALSE,FALSE,Много
203,prefix,FALSE,FALSE,Мало
204,prefix,FALSE,FALSE,Скверно
205,prefix,FALSE,FALSE,Бульбо
206,prefix,FALSE,FALSE,Даро
207,prefix,FALSE,FALSE,Бронзо
208,prefix,FALSE,FALSE,Светло
209,prefix,FALSE,FALSE,Злобо
210,prefix,FALSE,FALSE,Кремо
211,prefix,FALSE,FALSE,Килько
212,prefix,FALSE,FALSE,Сладко
213,prefix,FALSE,FALSE,Горько
214,prefix,FALSE,FALSE,Кисло
215,prefix,FALSE,FALSE,Остро
216,prefix,FALSE,FALSE,Легко
217,prefix,FALSE,FALSE,Бредо
218,prefix,FALSE,FALSE,Сумко
219,prefix,FALSE,FALSE,Вино
220,prefix,FALSE,FALSE,Шлако
221,prefix,FALSE,FALSE,Тесно
222,prefix,FALSE,FALSE,Криво
223,prefix,FALSE,FALSE,Прямо
224,prefix,FALSE,FALSE,Косо
225,prefix,FALSE,FALSE,Клятво
226,prefix,FALSE,FALSE,Бритво
227,prefix,FALSE,FALSE,Пено
228,prefix,FALSE,FALSE,Цепко
229,prefix,FALSE,FALSE,Цирко
230,prefix,FALSE,FALSE,Щипко
231,prefix,FALSE,FALSE,Гладко
232,prefix,FALSE,FALSE,Шершне
233,prefix,FALSE,FALSE,Лисо
234,prefix,FALSE,FALSE,Свято
235,prefix,FALSE,FALSE,Адо
236,prefix,FALSE,FALSE,Скоро
237,prefix,FALSE,FALSE,Мехо
238,prefix,FALSE,FALSE,Вязко
239,prefix,FALSE,FALSE,Скрипо
240,prefix,FALSE,FALSE,Хмуро
241,prefix,FALSE,FALSE,Споро
242,prefix,FALSE,FALSE,Крепко
243,prefix,FALSE,FALSE,Гибле
244,prefix,FALSE,FALSE,Пытко
245,prefix,TRUE,FALSE,Долбо
246,prefix,FALSE,FALSE,Дурно
247,prefix,FALSE,FALSE,Благо
248,prefix,FALSE,FALSE,Бубно
249,prefix,FALSE,FALSE,Мозго
250,prefix,FALSE,FALSE,Пупко
251,prefix,FALSE,FALSE,Шумно
252,prefix,FALSE,FALSE,Тихо
253,prefix,FALSE,FALSE,Пырче
254,prefix,FALSE,FALSE,Ласто
255,prefix,FALSE,FALSE,Слепо
256,prefix,FALSE,FALSE,Мускуло
257,prefix,FALSE,FALSE,Вато
258,prefix,FALSE,FALSE,Дыне
259,prefix,FALSE,FALSE,Щуко
260,prefix,FALSE,FALSE,Кексо
261,prefix,FALSE,FALSE,Крадо
262,prefix,FALSE,FALSE,Газо
263,prefix,FALSE,FALSE,Тигро
264,prefix,FALSE,FALSE,Книго
265,prefix,FALSE,FALSE,Музо
266,prefix,FALSE,FALSE,Молото
267,prefix,FALSE,FALSE,Секиро
268,prefix,FALSE,FALSE,Прыще
269,prefix,FALSE,FALSE,Хрумо
270,prefix,FALSE,FALSE,Хребто
271,prefix,FALSE,FALSE,Чутко
272,prefix,FALSE,FALSE,Велюро
273,prefix,FALSE,FALSE,Жуко
274,prefix,FALSE,FALSE,Броне
275,prefix,FALSE,FALSE,Грустно
276,prefix,FALSE,FALSE,Нерво
277,prefix,FALSE,FALSE,Вольно
278,prefix,FALSE,FALSE,Пруто
279,prefix,FALSE,FALSE,Стале
280,prefix,FALSE,FALSE,Дроже
281,prefix,FALSE,FALSE,Чмоко
282,prefix,FALSE,FALSE,Цыпо
283,prefix,FALSE,FALSE,Черве
284,prefix,FALSE,FALSE,Бобро
285,prefix,FALSE,FALSE,Овце
286,prefix,FALSE,FALSE,Хлысто
287,prefix,FALSE,FALSE,Весло
288,prefix,FALSE,FALSE,Мысле
289,prefix,FALSE,FALSE,Жадно
290,prefix,FALSE,FALSE,Пико
291,prefix,FALSE,FALSE,Рыго
292,prefix,FALSE,FALSE,Гвозде
293,prefix,FALSE,FALSE,Крото
294,prefix,FALSE,FALSE,Гребле
295,prefix,FALSE,FALSE,Пило
296,prefix,FALSE,FALSE,Биче
297,prefix,FALSE,FALSE,Плоско
298,prefix,FALSE,FALSE,Вафле
299,prefix,FALSE,FALSE,Терно
